instance_nr,opt,nbh,time,seed,makespan
X23_1,107,swap,1000,2,107
X23_1,107,swap,1000,3,107
X23_1,107,swap,1000,4,107
X23_1,107,swap,1000,5,107
X23_1,107,swap,5000,1,107
X23_1,107,swap,5000,2,107
X23_1,107,swap,5000,3,107
X23_1,107,swap,5000,4,107
X23_1,107,swap,5000,5,107
X23_1,107,api,100,1,111
X23_1,107,api,100,2,111
X23_1,107,api,100,3,116
X23_1,107,api,100,4,116
X23_1,107,api,100,5,116
X23_1,107,api,500,1,112
X23_1,107,api,500,2,111
X23_1,107,api,500,3,113
X23_1,107,api,500,4,111
X23_1,107,api,500,5,116
X23_1,107,api,1000,1,112
X23_1,107,api,1000,2,111
X23_1,107,api,1000,3,109
X23_1,107,api,1000,4,111
X23_1,107,api,1000,5,116
X23_1,107,api,5000,1,107
X23_1,107,api,5000,2,107
X23_1,107,api,5000,3,107
X23_1,107,api,5000,4,107
X23_1,107,api,5000,5,111
X24_1,93,swap,100,1,93
X24_1,93,swap,100,2,93
X24_1,93,swap,100,3,99
X24_1,93,swap,100,4,93
X24_1,93,swap,100,5,93
X24_1,93,swap,500,1,93
X24_1,93,swap,500,2,93
X24_1,93,swap,500,3,93
X24_1,93,swap,500,4,93
X24_1,93,swap,500,5,93
X24_1,93,swap,1000,1,93
X24_1,93,swap,1000,2,93
X24_1,93,swap,1000,3,93
X24_1,93,swap,1000,4,93
X24_1,93,swap,1000,5,93
X24_1,93,swap,5000,1,93
X24_1,93,swap,5000,2,93
X24_1,93,swap,5000,3,93
X24_1,93,swap,5000,4,93
X24_1,93,swap,5000,5,93
X24_1,93,api,100,1,99
X24_1,93,api,100,2,102
X24_1,93,api,100,3,102
X24_1,93,api,100,4,102
X24_1,93,api,100,5,102
X24_1,93,api,500,1,99
X24_1,93,api,500,2,102
X24_1,93,api,500,3,99
X24_1,93,api,500,4,102
X24_1,93,api,500,5,101
X24_1,93,api,1000,1,93
X24_1,93,api,1000,2,96
X24_1,93,api,1000,3,99
X24_1,93,api,1000,4,96
X24_1,93,api,1000,5,101
